image,caption
1000268201_693b08cb0e.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .
1001773457_577c3a7d70.jpg,A black dog and a spotted dog are fighting
1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
1003163366_44323f5815.jpg,A man lays on a bench while his dog sits by him .
1007129816_e794419615.jpg,A man in an orange hat starring at something .
1007320043_627395c3d8.jpg,A child playing on a rope net .
1009434119_febe49276a.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .
1012212859_01547e3f17.jpg,"A dog shakes its head near the shore , a red ball next to it ."
1015118661_980735411b.jpg,A boy smiles in front of a stony wall in a city .
1015584366_dfcec3c85a.jpg,A black dog leaps over a log .
101654506_8eb26cfb60.jpg,A brown and white dog is running through the snow .
101669240_b2d3e7f17b.jpg,A man in a hat is displaying pictures next to a skier in a blue hat .
1016887272_03199f49c4.jpg,A collage of one person climbing a cliff .
1019077836_6fc9b15408.jpg,A brown dog chases the water from a sprinkler on a lawn .
1019604187_d087bf9a5f.jpg,A dog prepares to catch a thrown object in a field with nearby cars .
1020651753_06077ec457.jpg,a black and white dog jumping in the air to get a toy .
1022454332_6af2c1449a.jpg,A child and a woman are at waters edge in a big city .
1022454428_b6b660a67b.jpg,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller ."
1022975728_75515238d8.jpg,A black dog running in the surf .
102351840_323e3de834.jpg,A man drilling a hole in the ice .
1024138940_f1fefbdce1.jpg,Two different breeds of brown and white dogs play on the beach .
102455176_5f8ead62d5.jpg,A man uses ice picks and crampons to scale ice .
1026685415_0431cbf574.jpg,A black dog carries a green toy in his mouth as he walks through the grass .
1028205764_7e8df9a2ea.jpg,A man and a baby are in a yellow kayak on water .
1030985833_b0902ea560.jpg,A black dog and a brown dog are jumping up to catch a red toy .
103106960_e8a41d64f8.jpg,A boy with a stick kneeling in front of a goalie net
103195344_5d2dc613a3.jpg,A man in black is sitting next to a modern art structure in front of a glass building .
103205630_682ca7285b.jpg,A tent is being set up on the ice .
1032122270_ea6f0beedb.jpg,A woman crouches near three dogs in a field .
1032460886_4a598ed535.jpg,a man is standing in front of a skyscraper
1034276567_49bb87c51c.jpg,A boy bites hard into a treat while he sits outside .
104136873_5b5d41be75.jpg,People sit on the mountainside and check out the view .
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt is looking down at many inflatable boats .
1042590306_95dea0916c.jpg,A man and woman pose for the camera while another man looks on .
1045521051_108ebc19be.jpg,A person eats takeout while watching a small television .
1048710776_bb5b0a5c7c.jpg,a couple of several people sitting on a ledge overlooking the beach
1052358063_eae6744153.jpg,A boy takes a jump on his skateboard while another boy with a skateboard watches .
105342180_4d4a40b47f.jpg,"A girl paddling down a large river , as seen from behind her ."
1053804096_ad278b25f1.jpg,A girl in pigtails splashes in the shallow water .
1055623002_8195a43714.jpg,A group of four children wearing pajamas have a pillow fight .
1055753357_4fa3d8d693.jpg,Two constructions workers sit on a beam taking a break .
1056249424_ef2a2e041c.jpg,The children are playing in the water .
1056338697_4f7d7ce270.jpg,A blond woman in a blue shirt appears to wait for a ride .
1056359656_662cee0814.jpg,A little girl looking at a brochure on train rides
1056873310_49c665eb22.jpg,A brown dog is running after a black dog on a rocky shore .
1057089366_ca83da0877.jpg,A boy descends off the end of a high diving board .
1057210460_09c6f4c6c1.jpg,A guy stands by a window taking his overshirt off .
1057251835_6ded4ada9c.jpg,A light-colored dog runs on the beach .
106490881_5a2dd9b7bd.jpg,A boy in his blue swim shorts at the beach .
106514190_bae200f463.jpg,A hiker standing high on a bluff overlooking the mountains below .
1067180831_a59dc64344.jpg,A black and white dog is attempting to catch a yellow and purple object in a low cut yard .
1067675215_7336a694d6.jpg,A man in blue shorts is laying in the street .
1067790824_f3cc97239b.jpg,A white and black dog and a brown dog in sandy terrain .
1072153132_53d2bb1b60.jpg,A black and white dog catches a toy in midair .
107318069_e9f2ef32de.jpg,A crowd watching air balloons at night .
1075716537_62105738b4.jpg,A child with a helmet on his head rides a bike .
107582366_d86f2d3347.jpg,A group of eight people are gathered around a table at night .
1075867198_27ca2e7efe.jpg,A man in a brown shirt and dark shorts plays on the beach with his two black dogs .
